Operação,nome,id,preço
i,Banana,1,1.2
i,Abobrinha,26,3.0
i,Alho-poró,30,5.0
i,Melancia,7,7.0
i,Brócolis,22,3.4
i,Manga,12,2.8
i,Kiwi,10,4.8
i,Pera,4,3.0
b,-,-,-
i,Uva,5,4.5
i,Abacaxi,6,5.0
i,Limão,13,1.0
i,Maçã,2,2.5
i,Couve-flor,23,4
i,Morango,9,6.0
i,Couve,29,2.5
i,Ameixa,14,4.0
i,Cenoura,16,1.5
i,Batata,17,2.0
b,-,-,-
i,Tomate,18,3.2
i,Alface,30,1.8
i,Espinafre,21,2.5
i,Pimentão,24,2.7
i,Abacate,11,3.5
i,Laranja,3,1.8
i,Pêssego,15,3.75
i,Pepino,25,1.9
b,-,-,-
i,Berinjela,27,3.5
i,Cebola,19,2.3
i,Mamão,8,3.2
i,Rúcula,28,2.1
b,-,-,-
